time,a1,a2,a3,a4,a5,a6
2024-08-20 02:07:12,-1.1102230246251565e-16,-88.9484999399463,126.55910079630705, -1.6653345369377348e-16,-37.61060085636077,8.326672684688674e-17
2024-08-20 02:07:12,0.0,-89.02963678429485,126.51809905350284, 0.0,-37.48846226920798,0.0
2024-08-20 02:07:12,0.0,-89.11430834127496,126.47490603589063, 0.0,-37.36059769461567,0.0
2024-08-20 02:07:12,0.0,-89.85343035148658,126.07960736403504, 0.0,-36.226177012548476,0.0
2024-08-20 02:07:13,0.0,-91.58503565178827,125.0092987615259, 0.0,-33.424263109737595,0.0
2024-08-20 02:07:13,0.0,-91.65841782065614,124.95890095254286, 0.0,-33.30048313188672,0.0
2024-08-20 02:07:13,0.0,-91.58859364003226,125.00686549669743, 0.0,-33.418271856665164,0.0
2024-08-20 02:07:13,0.0,-91.28232878327458,125.21254470298186, 0.0,-33.930215919707294,0.0
2024-08-20 02:07:13,0.0,-88.10904070380373,126.96190110572982, 0.0,-38.85286040192611,0.0
2024-08-20 02:07:13,0.0,-87.34433270876285,127.29699172272953, 0.0,-39.952659013966695,0.0
2024-08-20 02:07:37,-7.216449660063518e-16,-87.34433270876274,127.29699172272942, 0.0,-39.95265901396673,-1.2212453270876722e-15
2024-08-20 02:08:00,0.0,-89.44997422592654,126.29951773629281, 0.0,-36.84954351036624,0.0
2024-08-20 02:08:01,0.0,-92.0871860575279,124.65524760270407, 0.0,-32.5680615451762,0.0
2024-08-20 02:08:01,0.0,-91.62136159881751,124.9844065887705, 0.0,-33.363044989953,0.0
2024-08-20 02:08:01,0.0,-90.20476923447222,125.87961442204015, 0.0,-35.674845187567925,0.0
2024-08-20 02:08:01,0.0,-90.0063277641991,125.99356913235741, 0.0,-35.9872413681583,0.0
2024-08-20 02:08:01,0.0,-89.20289433025248,126.42926866513213, 0.0,-37.22637433487965,0.0
2024-08-20 02:08:01,0.0,-87.91721912478108,127.04869742648955, 0.0,-39.13147830170847,0.0
2024-08-20 02:08:01,0.0,-87.81804414441265,127.0928400231481, 0.0,-39.274795878735446,0.0
2024-08-20 06:20:09,0.0,-89.13333181940894,126.46514434841474, 0.0,-37.3318125290058,0.0
