time,x,y,z
2024-12-16 05:11:04,1395.0,0,1515.0
2024-12-16 05:11:51,1394.5329224184916,0,1505.3892903429019
2024-12-16 05:11:52,1394.1603500532558,0,1497.7231445669174
2024-12-16 05:11:52,1393.6137424099618,0,1486.476003697762
2024-12-16 05:11:52,1393.1516557555221,0,1476.9679886526048
2024-12-16 05:11:52,1392.7516217495709,0,1468.7367850231171
2024-12-16 05:11:52,1392.3377069925646,0,1460.21996745391
2024-12-16 05:11:52,1391.9283029582691,0,1451.7959636870164
2024-12-16 05:11:52,1391.4968529202104,0,1442.9183356194546
2024-12-16 05:11:52,1391.0410834005922,0,1433.5403035814838
2024-12-16 05:11:52,1390.5435138998448,0,1423.3021842727658
2024-12-16 05:11:52,1389.9923900767067,0,1411.9621173139008
2024-12-16 05:11:52,1389.313936789162,0,1398.0020862170618
2024-12-16 05:11:52,1388.492425892423,0,1381.0984645891413
2024-12-16 05:11:52,1387.1992562399523,0,1354.4898698731845
2024-12-16 05:11:52,1385.995404611957,0,1329.7191060323626
2024-12-16 05:11:52,1385.1371749043558,0,1312.0599486131273
2024-12-16 05:11:52,1384.798424286157,0,1305.0897278905697
2024-12-16 05:11:57,1397.265286903199,-12.634406906346582,1304.4841703230004
2024-12-16 05:11:57,1398.7807608516541,-14.170247567217853,1304.4105586416872
2024-12-16 05:11:57,1408.3606279649875,-9.923085764908635,1302.0975422549318
2024-12-16 05:11:57,1417.9765463803599,-7.9881724440449275,1296.4570108660218
2024-12-16 05:11:57,1428.201773228189,-12.177419724782368,1284.0291404520126
2024-12-16 05:11:57,1433.4000205211587,-14.989044029678489,1272.270415430157
2024-12-16 05:11:58,1437.108451177256,-18.33977435813683,1262.1227220203264
2024-12-16 05:11:58,1439.1973856171635,-22.265957650447366,1250.559103806967
2024-12-16 05:11:58,1439.983356355441,-21.514095149274493,1240.1784754943
2024-12-16 05:11:58,1443.6558057849315,-23.480986999131037,1230.739277949378
2024-12-16 05:11:58,1447.7983754025652,-27.008699437022443,1221.1498834089243
2024-12-16 05:11:58,1452.0267413900672,-25.151527433799448,1210.451882881454
2024-12-16 05:11:58,1454.3708888305043,-23.747846606774203,1199.8860004158269
2024-12-16 05:11:59,1456.4119771300368,-24.95683100156576,1188.1644119212274
2024-12-16 05:11:59,1457.9769698027956,-26.15743784374347,1176.1586686832825
