time,a1,a2,a3,a4,a5,a6
2024-10-24 01:31:05,0.0,-89.1865997905206,126.43769779118908, 0.0,-37.251098000668485,0.0
2024-10-24 01:31:05,0.0,-89.35411438216288,126.3502919148569, 0.0,-36.99617753269403,0.0
2024-10-24 01:31:05,0.0,-89.46202579794094,126.29309494754892, 0.0,-36.83106914960799,0.0
2024-10-24 01:31:05,0.0,-89.57472566756267,126.23260222139307, 0.0,-36.65787655383039,0.0
2024-10-24 01:31:05,0.0,-89.75041462813394,126.13672865247702, 0.0,-36.3863140243431,0.0
2024-10-24 01:31:05,0.0,-90.03795723540306,125.97558055518056, 0.0,-35.9376233197775,0.0
2024-10-24 01:31:05,0.0,-90.2709401811995,125.84103019803666, 0.0,-35.57009001683716,0.0
2024-10-24 01:31:05,0.0,-90.57958895722625,125.65708319679503, 0.0,-35.07749423956879,0.0
2024-10-24 01:31:05,0.0,-90.87661368484017,125.47368277312992, 0.0,-34.597069088289764,0.0
2024-10-24 01:31:05,0.0,-91.20485798174212,125.26338640841537, 0.0,-34.05852842667327,0.0
2024-10-24 01:31:05,0.0,-91.30114390781088,125.20012574281228, 0.0,-33.898981835001386,0.0
2024-10-24 01:31:05,0.0,-91.4015146705925,125.1334010427036, 0.0,-33.73188637211111,0.0
2024-10-24 01:31:05,0.0,-91.4965093449473,125.0695054344058, 0.0,-33.57299608945849,0.0
2024-10-24 01:31:05,0.0,-91.54411101989447,125.03721153179663, 0.0,-33.493100511902156,0.0
2024-10-24 01:31:05,0.0,-91.63933515688174,124.9720497671445, 0.0,-33.33271461026277,0.0
2024-10-24 01:31:05,0.0,-91.73260315196616,124.90749370263318, 0.0,-33.17489055066703,0.0
2024-10-24 01:31:05,0.0,-91.9880821788883,124.72685720007581, 0.0,-32.73877502118751,0.0
2024-10-24 01:31:05,0.0,-92.13453396040374,124.62072498302152, 0.0,-32.486191022617774,0.0
2024-10-24 01:31:05,0.0,-92.27952434353398,124.51373948864438, 0.0,-32.23421514511042,0.0
2024-10-24 01:31:05,0.0,-92.32446226231751,124.48018695993305, 0.0,-32.15572469761553,0.0
2024-10-24 01:31:05,0.0,-92.41353870124932,124.41311910590085, 0.0,-31.999580404651525,0.0
2024-10-24 01:31:05,0.0,-92.45801795955414,124.37934814995579, 0.0,-31.921330190401658,0.0
2024-10-24 01:31:05,0.0,-92.54623980131714,124.3118036587455, 0.0,-31.765563857428376,0.0
2024-10-24 01:31:05,0.0,-92.6339374692664,124.24391024055436, 0.0,-31.60997277128796,0.0
2024-10-24 01:31:05,0.0,-92.72107711478226,124.17569615967753, 0.0,-31.454619044895285,0.0
2024-10-24 01:31:05,0.0,-92.85069871330228,124.07281264297121, 0.0,-31.22211392966893,0.0
2024-10-24 01:31:05,0.0,-92.93652062760056,124.00374592496406, 0.0,-31.067225297363517,0.0
2024-10-24 01:31:05,0.0,-93.07361638267265,123.89181398566056, 0.0,-30.8181976029879,0.0
2024-10-24 01:31:05,0.0,-93.15803028139155,123.82189499886887, 0.0,-30.66386471747732,0.0
2024-10-24 01:31:05,0.0,-93.29292917042702,123.70854245069039, 0.0,-30.415613280263393,0.0
2024-10-24 01:31:05,0.0,-93.33456571467822,123.67314746633181, 0.0,-30.33858175165362,0.0
2024-10-24 01:31:05,0.0,-93.37606902767781,123.63767111058391, 0.0,-30.261602082906112,0.0
2024-10-24 01:31:05,0.0,-93.29493294208552,123.70684351156615, 0.0,-30.411910569480604,0.0
2024-10-24 01:31:05,0.0,-93.10996359967055,123.8618024296644, 0.0,-30.751838829993865,0.0
2024-10-24 01:31:05,0.0,-92.90723641457053,124.02739878730323, 0.0,-31.120162372732697,0.0
2024-10-24 01:31:05,0.0,-92.64824603872258,124.23276110141121, 0.0,-31.584515062688645,0.0
2024-10-24 01:31:05,0.0,-92.44395439564516,124.39004634256271, 0.0,-31.946091946917562,0.0
2024-10-24 01:31:05,0.0,-92.23143329652748,124.54943873437485, 0.0,-32.31800543784737,0.0
2024-10-24 01:31:05,0.0,-92.08765550664083,124.6549063054629, 0.0,-32.56725079882207,0.0
2024-10-24 01:31:06,0.0,-91.93806570649888,124.76266745830654, 0.0,-32.82460175180767,0.0
2024-10-24 01:31:06,0.0,-91.78700303336528,124.86950116649102, 0.0,-33.08249813312574,0.0
2024-10-24 01:31:06,0.0,-91.57682972185421,125.01490670841552, 0.0,-33.43807698656132,0.0
2024-10-24 01:31:06,0.0,-91.48455135800508,125.07758888779084, 0.0,-33.593037529785775,0.0
2024-10-24 01:31:06,0.0,-91.38704911146917,125.14306707753914, 0.0,-33.75601796607,0.0
2024-10-24 01:31:06,0.0,-91.29369864810182,125.20504334211562, 0.0,-33.911344694013806,0.0
2024-10-24 01:31:06,0.0,-91.24683766677113,125.23589480098472, 0.0,-33.98905713421361,0.0
2024-10-24 01:31:06,0.0,-91.1950547823279,125.26978651776164, 0.0,-34.07473173543375,0.0
2024-10-24 01:31:06,0.0,-91.08372293782487,125.34194892418381, 0.0,-34.25822598635894,0.0
2024-10-24 01:31:06,0.0,-90.94095034123157,125.43310581666246, 0.0,-34.492155475430884,0.0
2024-10-24 01:31:06,0.0,-90.88818486920302,125.46640756735574, 0.0,-34.57822269815272,0.0
2024-10-24 01:31:06,0.0,-90.8401907360237,125.49651845219992, 0.0,-34.65632771617622,0.0
2024-10-24 01:31:06,0.0,-90.79207523357812,125.52653505166067, 0.0,-34.73445981808255,0.0
2024-10-24 01:31:37,0.0,-90.76599754281264,125.50081633781541, 0.0,-34.73481879500278,0.0
2024-10-24 01:31:37,0.0,-90.73993161344059,125.47509721712676, 0.0,-34.73516560368617,0.0
