time,x,y,z
2024-07-17 06:25:29,1422.5,0,637.0161071185554
2024-07-17 06:25:30,1422.5,0,643.0239114989522
2024-07-17 06:25:30,1422.5,0,652.0356159989047
2024-07-17 06:25:30,1422.5,0,658.0432342768426
2024-07-17 06:25:30,1422.5,0,664.0510531229578
2024-07-17 06:25:30,1422.5,0,667.0546596253732
2024-07-17 06:25:30,1422.5,0,670.0585225231104
2024-07-17 06:25:30,1422.5,0,670.0871305894532
2024-07-17 06:25:30,1422.5,0,673.0915877506383
2024-07-17 06:25:30,1422.5,0,676.0957512386096
2024-07-17 06:25:44,1422.5,0,642.9095053522236
2024-07-17 06:25:45,1422.5,0,633.8932886470232
2024-07-17 06:25:46,1422.5,0,630.8542160572825
2024-07-17 06:25:46,1422.5,0,627.8495513008963
2024-07-17 06:25:46,1422.5,0,624.8122975142112
2024-07-17 06:25:46,1422.5,0,621.8079334374103
2024-07-17 06:25:46,1422.5,0,618.8038257952973
2024-07-17 06:25:46,1422.5,0,615.7994244856022
2024-07-17 06:25:46,1422.5,0,612.7651708079688
2024-07-17 06:25:46,1422.5,0,606.7291794473075
2024-07-17 06:25:46,1422.5,0,603.7259291810647
2024-07-17 06:25:46,1422.5,0,600.7229352616465
2024-07-17 06:25:46,1422.5,0,594.6902088927739
2024-07-17 06:25:46,1422.5,0,594.664084333646
2024-07-17 06:25:46,1422.5,0,591.66225901701
2024-07-17 06:25:46,1422.5,0,582.6324555357282
2024-07-17 06:25:46,1422.5,0,576.6293118169976
2024-07-17 06:25:46,1422.5,0,567.6247316749879
2024-07-17 06:25:46,1422.5,0,555.6003982181259
2024-07-17 06:25:46,1422.5,0,549.5812209964577
2024-07-17 06:25:46,1422.5,0,537.5650166965021
2024-07-17 06:25:46,1422.5,0,528.5525868494234
2024-07-17 06:25:46,1422.5,0,522.5422614684145
2024-07-17 06:25:46,1422.5,0,516.5447623759665
2024-07-17 06:25:46,1422.5,0,513.5362819244425
2024-07-17 06:25:46,1422.5,0,510.5292821457512
2024-07-17 06:25:46,1422.5,0,507.5315513113197
