x,y,z
1422.5,0,625.0
1422.5,0,626.3236601153739
1422.5,0,628.9689391583826
1422.5,0,631.6134463727501
1422.5,0,636.8886585316391
1422.5,0,643.4655749517748
1422.5,0,644.7787450583679
1422.5,0,648.7136242160583
1422.5,0,652.6417505607265
1422.5,0,659.1736288860403
1422.5,0,668.289159056745
1422.5,0,673.4803874566835
1422.5,0,678.6599235906068
1422.5,0,682.5387867656602
1422.5,0,687.6977078270631
1422.5,0,694.1298214300084
1422.5,0,699.2624718965932
1422.5,0,708.2165475296125
1422.5,0,715.8633934464702
1422.5,0,726.0190935220307
1422.5,0,737.3896455363512
1422.5,0,749.9548967034447
1422.5,0,758.7072439359506
1422.5,0,767.4269728130012
1422.5,0,776.112745991609
1422.5,0,788.4644202181759
1422.5,0,794.6145263612967
1422.5,0,798.2964376861721
1422.5,0,804.4194553240824
1422.5,0,810.5254519763633
1422.5,0,819.0456627243159
1422.5,0,822.6879609775403
1422.5,0,823.9003564916017
1422.5,0,828.7436025939936
1422.5,0,837.1958834318305
1422.5,0,842.0104245304681
1422.5,0,844.4134778959456
1419.1033497839828,0.1625236813790746,844.4134778959456
1413.5130715919531,0.4300085661686388,844.4134778959456
1392.4188586384714,1.4393291988400552,844.4134778959456
1382.9963095005803,1.89018144339672,844.4134778959456
1376.7602872312825,2.18856403563095,844.4134778959456
1369.9961274078996,2.5122170720103116,844.4134778959456
1355.100904024056,3.2249270613669694,844.4134778959456
1342.3602537359593,3.8345445539838057,844.4134778959456
1323.2802847173518,4.7474871910795775,844.4134778959456
1306.8291999062908,5.534642386973751,844.4134778959456
1280.3210985405476,6.803007966689492,844.4134778959456
1254.9416185134196,8.017371019453865,844.4134778959456
1230.495273574732,9.187085215211402,844.4134778959456
1219.68188157792,9.7044868208373,844.4134778959456
1200.0464624390715,10.64400675986965,844.4134778959456
1181.045214188004,11.55318274802372,844.4134778959456
1170.418641601473,12.061645376604327,844.4134778959456
1157.7125417988177,12.669609689844318,844.4134778959456
1151.5938861823054,12.962376496151617,844.4134778959456
1143.7042490257104,13.339881624406608,844.4134778959456
1131.0509077672868,13.945321534988869,844.4134778959456
1127.5252571225492,14.114017657815198,844.4134778959456
1126.0365746278965,14.18524847171962,844.4134778959456
1124.5462357878919,14.256558538807946,844.4134778959456
1121.28379258856,14.412660652751013,844.4134778959456
1113.2366319721768,14.797702998841283,844.4134778959456
1103.915697221176,15.243693175422706,844.4134778959456
1098.8135857475747,15.48782014957678,844.4134778959456
1093.9757210741684,15.719303383566558,844.4134778959456
1084.5358010940402,16.17098679207876,844.4134778959456
1084.1893015620117,14.827856958043995,844.4134778959456
1083.9951403829393,10.7700014797378,844.4134778959456
1083.522576800005,0.8936980239233789,844.4134778959456
1082.6336564105125,-17.684220020828896,844.4134778959456
1081.2679224880171,-46.22726300079946,844.4134778959456
1079.0224789846714,-93.15572349330056,844.4134778959456
1077.8159987082558,-118.3704580891112,844.4134778959456
1077.211497904083,-131.00417257092337,844.4134778959456
1076.9120718258973,-137.26200308842257,844.4134778959456
1076.8375041569666,-138.82042390828343,844.4134778959456
1076.7276158599373,-141.11702526923804,844.4134778959456
1076.5986103073642,-143.81316612881494,844.4134778959456
