time,x,y,z
2024-11-06 09:17:44,1422.5,0,635.929724085087
2024-11-06 09:17:45,1422.5,0,651.4755870874147
2024-11-06 09:17:46,1422.5,0,676.3218755364085
2024-11-06 09:17:46,1422.5,0,677.5934086717496
2024-11-06 09:17:47,1422.5,0,648.0763856945026
2024-11-06 09:17:48,1422.5,0,577.6503675138354
2024-11-06 09:18:23,1422.5,0,582.7366283710682
2024-11-06 09:18:23,1422.5,0,623.0248502794667
2024-11-06 09:18:24,1422.5,0,614.0839958775316
2024-11-06 09:18:24,1422.5,0,579.482329170032
2024-11-06 09:18:24,1422.5,0,515.4787093334199
2024-11-06 09:18:25,1422.5,0,559.4487900139144
2024-11-06 09:18:25,1422.5,0,595.9013584454084
2024-11-06 09:18:26,1422.5,0,562.9345434457858
2024-11-06 09:18:26,1422.5,0,564.2059321804177
2024-11-06 09:18:28,1409.6824978707596,0,564.2059321804177
2024-11-06 09:18:29,1313.5895087806834,0,564.2059321804177
2024-11-06 09:18:29,1312.0007509326947,0,564.2059321804177
2024-11-06 09:18:29,1351.8213098132724,0,564.2059321804177
2024-11-06 09:18:30,1478.947455545567,0,564.2059321804177
2024-11-06 09:18:31,1710.5150028715632,0,564.2059321804177
2024-11-06 09:18:31,1461.9738028316929,0,564.2059321804177
2024-11-06 09:18:32,1466.4809025108514,0,564.2059321804177
