time,a1,a2,a3,a4,a5,a6
2024-11-06 09:17:44,0.0,-89.60806248181875,126.21455836870183, 0.0,-36.60649588688308,0.0
2024-11-06 09:17:45,0.0,-90.26566117035749,125.84411926572642, 0.0,-35.57845809536896,0.0
2024-11-06 09:17:46,0.0,-91.27356318096932,125.21832092454707, 0.0,-33.94475774357777,0.0
2024-11-06 09:17:46,0.0,-91.32371535985867,125.18519048605512, 0.0,-33.86147512619647,0.0
2024-11-06 09:17:47,0.0,-90.12364458798007,125.92651630547428, 0.0,-35.80287171749421,0.0
2024-11-06 09:17:48,0.0,-86.95934639804153,127.45502663658412, 0.0,-40.495680238542555,0.0
2024-11-06 09:18:23,0.0,-87.2019515281623,127.3562437700363, 0.0,-40.15429224187402,0.0
2024-11-06 09:18:23,0.0,-89.04645190504304,126.5095543044213, 0.0,-37.46310239937827,0.0
2024-11-06 09:18:24,0.0,-88.64901144223974,126.70721774402746, 0.0,-38.05820630178771,0.0
2024-11-06 09:18:24,0.0,-87.0469774087787,127.41965874639136, 0.0,-40.372681337612676,0.0
2024-11-06 09:18:24,0.0,-83.82115026822804,128.51204765309114, 0.0,-44.690897384863156,0.0
2024-11-06 09:18:25,0.0,-86.07347148521583,127.79341949258841, 0.0,-41.71994800737259,0.0
2024-11-06 09:18:25,0.0,-87.81978453124792,127.09206963813475, 0.0,-39.27228510688679,0.0
2024-11-06 09:18:26,0.0,-86.24525617223128,127.73045082350502, 0.0,-41.48519465127375,0.0
2024-11-06 09:18:26,0.0,-86.30766201289477,127.70726657023421, 0.0,-41.39960455733945,0.0
2024-11-06 09:18:28,0.0,-87.09777789895371,128.54736752833418, 0.0,-41.4495896293805,0.0
2024-11-06 09:18:29,0.0,-93.3044851632612,134.7301171568298, 0.0,-41.42563199356853,0.0
2024-11-06 09:18:29,0.0,-93.41198693041702,134.83069264133698, 0.0,-41.41870571091998,0.0
2024-11-06 09:18:29,0.0,-90.76920753988034,132.29401426594717, 0.0,-41.52480672606682,0.0
2024-11-06 09:18:30,0.0,-82.9115744533508,123.96129547297511, 0.0,-41.04972101962437,0.0
2024-11-06 09:18:31,0.0,-69.88539441466261,107.66236385131867, 0.0,-37.77696943665612,0.0
2024-11-06 09:18:31,0.0,-83.91952114137706,125.09581873702484, 0.0,-41.17629759564771,0.0
2024-11-06 09:18:32,0.0,-83.65083649406803,124.79525827359747, 0.0,-41.14442177952946,0.0
